web-scraper-order,web-scraper-start-url,pagination,link,link-href,address,price,beds,baths,sqft,DOM,year,lot_size,estimate,est_monthly_payment,parking,pool,school_dist,zoning,views,favorites,outs,walk_score,transit_score,bike_score,hoa_dues
1638424155-1417,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=condo,,,https://www.redfin.com/CA/West-Hollywood/1133-N-Clark-St-90069/unit-102/home/7121565,"1133 N Clark St #102,","$1,099,000.00",3,2,"1,471",Time on Redfin31 hours,1981,Modern,"$1,096,590.00","$5,411.00","Microwave, Oven, Gas/Electric Range",Amenities: None,"Lot Size (Sq. Ft.): 8,627",,419,15,1,84 / 100,60 / 100,29 / 100,HOA Dues$450/month
1638423809-1286,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=condo,,,https://www.redfin.com/CA/Los-Angeles/10550-Wilshire-Blvd-90024/unit-304/home/6804473,"10550 Wilshire Blvd #304,","$869,000.00",2,2,"1,711",Time on Redfin15 days,1981,Contemporary,"$855,356.00","$5,941.00",Laundry in Unit,"Amenities: Switchboard, Gated Parking, Security","Lot Size (Sq. Ft.): 18,562",,960,9,6,61 / 100,68 / 100,52 / 100,"HOA Dues$2,018/month"
1638424104-1398,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=condo,,,https://www.redfin.com/CA/Santa-Monica/201-Ocean-Ave-90402/unit-1205P/home/17243680,"201 Ocean Ave Unit 1205P,","$769,000.00",1,1,868,Time on Redfin3 days,1971,Modern,"$766,658.00","$5,494.00","Community Laundry, Laundry Room","Fenced Pool, Heated And Filtered Pool, Community Pool",# of Units in Complex (Total): 317,,559,8,1,52 / 100,27 / 100,68 / 100,"HOA Dues$2,023/month"
1638423760-1266,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=condo,,,https://www.redfin.com/CA/Marina-Del-Rey/445-Washington-Blvd-90292/unit-12/home/6734865,"445 Washington Blvd #12,","$649,000.00",1,1,592,Time on Redfin17 days,1978,Garden Condo,"$639,898.00","$3,339.00","Free Standing Gas, Range Hood, Microwave",Association Spa,Assessor Parcel Number: 4227-022-059,Directions: Washington Boulevard. Coming west towards the ocean from Lincoln. Cross street Dell Avenue.,775,11,4,88 / 100,,85 / 100,HOA Dues$409/month
1638423646-1222,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=condo,,,https://www.redfin.com/CA/Los-Angeles/1522-Centinela-Ave-90025/unit-207/home/6764086,"1522 S Centinela Ave #207,","$525,000.00",1,1,639,Time on Redfin22 days,1966,Low Rise,$822.00,"$2,701.00","Community Laundry, Laundry Outside",Patio Features: Balcony,Assessor Parcel Number: 4267-029-061,Directions: In West LA - South of Santa Monica Blvd & North of Olympic Blvd,"1,369",32,4,91 / 100,64 / 100,85 / 100,HOA Dues$331/month
1638423372-1168,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=condo,,,https://www.redfin.com/CA/Los-Angeles/2160-Century-Park-E-90067/unit-206/home/6808573,"2160 Century Park East #206,","$1,079,000.00",2,2,"1,416",Time on Redfin28 days,1966,Contemporary,"$1,058,215.00","$6,419.00",CPE HOA,# of Parking Spaces (Total): 1,Roof: Composition,"Fees Include Alarm System, Fees Include Building and Grounds, Fees Include Concierge, Fees Include Maintenance, Fees Include On Site Security, Fees Include Sewer, Fees IncludeTrash, Fees Include Water and Sewer, Fees Include Water","1,150",22,4,90 / 100,61 / 100,41 / 100,"HOA Dues$1,548/month"
1638423838-1296,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=condo,,,https://www.redfin.com/CA/Los-Angeles/13173-Pacific-Promenade-90094/unit-203/home/8135901,"13173 Pacific Promenade #203,","$1,299,000.00",2,2.5,"1,812",Time on Redfin15 days,2003,Contemporary,"$1,302,230.00","$6,813.00",First Service Residential,# of Parking Spaces (Total): 2,"Patio Features: Balcony, Covered",Fee #2: $285,"1,138",47,8,70 / 100,45 / 100,87 / 100,HOA Dues$949/month
1638424147-1414,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=condo,,,https://www.redfin.com/CA/Canoga-Park/6815-Remmet-Ave-91303/unit-212/home/3962166,"6815 Remmet Ave #212,","$315,000.00",1,1,619,Time on Redfin32 hours,1986,CP - Canoga Park,"$316,799.00","$1,782.00","Gas Oven, Gas Range, Refrigerator",Patio And Porch Features: Patio,High School District: Los Angeles Unified,Association Fee Frequency: Monthly,309,5,4,80 / 100,56 / 100,86 / 100,HOA Dues$360/month
1638423821-1289,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=condo,,,https://www.redfin.com/CA/Los-Angeles/358-S-Gramercy-Pl-90020/unit-207/home/7090972,"358 S Gramercy Pl #207,","$499,000.00",1,1,792,Time on Redfin15 days,1965,High or Mid-Rise Condo,"$498,908.00","$2,547.00",Community Laundry,Association Pool,# of Units in Complex (Total): 34,,650,21,1,93 / 100,76 / 100,67 / 100,HOA Dues$294/month
1638424109-1400,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=condo,,,https://www.redfin.com/CA/Encino/5447-Zelzah-Ave-91316/unit-131/home/4129510,"5447 Zelzah Ave #131,","$359,998.00",1,1,924,Time on Redfin3 days,1970,ENC - Encino,"$400,548.00","$2,089.00","Garbage Disposal, Gas Range, Microwave, Refrigerator, Water Line to Refrigerator",Pool Features: Association,High School District: Los Angeles Unified,Association Fee Frequency: Monthly,989,61,4,59 / 100,42 / 100,59 / 100,HOA Dues$464/month
