web-scraper-order,web-scraper-start-url,pagination,link,link-href,address,price,beds,baths,sqft,DOM,year,lot_size,estimate,est_monthly_payment,parking,pool,school_dist,zoning,views,favorites,outs,walk_score,transit_score,bike_score,hoa_dues
1638406000-232,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=house,,,https://www.redfin.com/CA/Sherman-Oaks/14811-Jadestone-Dr-91403/home/4892769,"14811 Jadestone Dr,","$2,750,000.00",5,4.5,"4,038",Time on Redfin4 days,1963,Sherman Oaks,"$2,768,036.00","$12,459.00",4,Roof: Tile,Assessor Parcel Number: 2278-031-006,,"2,012",101,6,2 / 100,0 / 100,2 / 100,
1638406488-342,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=house,,,https://www.redfin.com/CA/Tarzana/4910-Brewster-Dr-91356/home/4246615,"4910 Brewster Dr,","$2,999,999.00",6,6.5,"6,209",Time on Redfin29 hours,1961,0.71 Acres,"$2,983,851.00","$13,591.00",Attached Garage,Pool Features: Private,High School District: Los Angeles Unified,,586,19,0,18 / 100,29 / 100,11 / 100,
1638406569-374,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=house,,,https://www.redfin.com/CA/Beverly-Hills/9959-Westwanda-Dr-90210/home/6833270,"9959 Westwanda Dr,","$1,695,000.00",2,2,"1,295",Time on Redfin18 hours,1964,Beverly Hills Post Office,"$1,668,405.00","$7,679.00","Gas/Electric Range, Cooktop - Gas, Oven, Microwave",Amenities: None,No Mello-Roos Tax,Attached,559,21,3,1 / 100,0 / 100,1 / 100,
1638406417-314,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=house,,,https://www.redfin.com/CA/Los-Angeles/8736-Elm-St-90002/home/7299644,"8736 Elm St,","$490,000.00",3,1,792,Time on Redfin2 days,1924,"3,351 Sq. Ft.","$492,510.00","$2,220.00",None,High School District: Los Angeles Unified,Assessments: Unknown,,503,22,1,75 / 100,54 / 100,62 / 100,
1638406349-289,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=house,,,https://www.redfin.com/CA/Granada-Hills/11955-Nugent-Dr-91344/home/5556311,"11955 Nugent Dr,","$1,549,000.00",5,3,"3,301",Time on Redfin3 days,1984,GH - Granada Hills,"$1,598,643.00","$7,018.00","Dishwasher, Garbage Disposal, Refrigerator, Double Oven, Microwave, Tankless Water Heater",Barbecue Private,Common Walls: No Common Walls,Has Parking,"2,092",90,2,5 / 100,17 / 100,2 / 100,
1638406434-321,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=house,,,https://www.redfin.com/CA/Los-Angeles/2714-Eagle-St-90033/home/6941861,"2714 Eagle St,","$685,000.00",3,2,"1,190",Time on Redfin9 days,1907,BOYH - Boyle Heights,$576.00,"$3,103.00",Formal Dining Room,Pool Features: None,High School District: Los Angeles Unified,,"2,846",201,1,90 / 100,71 / 100,67 / 100,
1638405839-206,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=house,,,https://www.redfin.com/CA/Los-Angeles/1250-S-Windsor-Blvd-90019/home/6911457,"1250 S Windsor Blvd,","$2,490,000.00",8,9,"4,005",Time on Redfin6 days,1911,Hancock Park-Wilshire,"$2,464,364.00","$11,281.00",2,# of Parking Spaces (Total): 11,Other Structures: Other,,484,16,1,89 / 100,64 / 100,63 / 100,
1638405166-98,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=house,,,https://www.redfin.com/CA/Van-Nuys/6605-Gerald-Ave-91406/home/4567485,"6605 Gerald Ave,","$779,000.00",3,2,"1,101",Time on Redfin13 days,1950,"5,999 Sq. Ft.","$781,577.00","$3,529.00",2,"Patio And Porch Features: Covered, Patio, Porch - Front",High School District: Los Angeles Unified,Zoning: LAR1,"1,934",93,3,64 / 100,49 / 100,75 / 100,
1638406089-247,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=house,,,https://www.redfin.com/CA/Tujunga/9700-Wornom-Ave-91040/home/5493977,"9700 Wornom Ave,","$825,000.00",2,2,"1,107",Time on Redfin10 days,1950,0.55 Acres,"$830,781.00","$3,738.00",1,Pool Features: None,High School District: Los Angeles Unified,,"2,342",77,2,17 / 100,30 / 100,6 / 100,
1638406630-397,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=house,,,https://www.redfin.com/CA/West-Hollywood/6446-W-5th-St-90048/home/7092625,"6446 W 5th St,","$3,999,000.00",5,4.5,"3,562",Time on Redfin6 hours,2005,"6,100 Sq. Ft.","$3,951,030.00","$18,117.00","Microwave, Oven, Built-In BBQ, Range, Range Hood",Other Structural Features: Barbecue Private,Assessor Parcel Number: 5510-013-027,,667,35,2,81 / 100,66 / 100,67 / 100,
1638405910-218,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=house,,,https://www.redfin.com/CA/Granada-Hills/12571-Henzie-Pl-91344/home/5576348,"12571 Henzie Pl,","$1,150,000.00",4,2,"2,357",Time on Redfin6 days,1974,0.25 Acres,"$1,148,564.00","$5,210.00","6 Burner Stove, Dishwasher, Gas Range, Gas Water Heater, Range/Stove Hood",Pool Features: None,High School District: Los Angeles Unified,Zoning: LARE11,"1,160",17,6,10 / 100,23 / 100,6 / 100,
1638405670-181,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=house,,,https://www.redfin.com/CA/Los-Angeles/741-Terrace-49-90042/home/7078411,"741 Terrace 49,","$1,299,000.00",2,2,"1,677",Time on Redfin8 days,1924,632 - Highland Park,"$1,455,883.00","$5,885.00","Dishwasher, Garbage Disposal, Range, Range/Stove Hood, Tankless Water Heater",Foundation Details: Raised,Common Walls: No Common Walls,Has Parking,"6,379",416,9,43 / 100,33 / 100,30 / 100,
1638405192-102,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=house,,,https://www.redfin.com/CA/Los-Angeles/3046-Bagley-Ave-90034/home/6792909,"3046 Bagley Ave,","$1,700,000.00",3,2,"1,591",Time on Redfin13 days,1941,Beverlywood Vicinity,"$1,069.00","$7,702.00",None,# of Parking Spaces (Total): 4,"Patio Features: Porch - Rear, Porch - Front, Patio Open","Security Features: Carbon Monoxide Detector(s), Smoke Detector","3,266",152,11,73 / 100,54 / 100,75 / 100,
1638405951-225,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=house,,,https://www.redfin.com/CA/Los-Angeles/6569-2nd-Ave-90043/home/6420096,"6569 2nd Ave,","$879,000.00",4,2,"1,216",Time on Redfin5 days,1927,PHHT - Park Hills Heights,"$876,980.00","$3,982.00","Gas Oven, Gas Range",Foundation Details: Raised,High School District: Los Angeles Unified,# of Parking Spaces: 3,"1,289",41,3,58 / 100,56 / 100,45 / 100,
1638406462-331,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=house,,,https://www.redfin.com/CA/North-Hollywood/6321-Simpson-Ave-91606/home/5122742,"6321 Simpson Ave,","$975,000.00",3,2,"1,609",Time on Redfin31 hours,1938,North Hollywood,"$985,662.00","$4,417.00",1,# of Parking Spaces (Total): 2,Other Structures: Shed,,"1,236",98,4,84 / 100,50 / 100,64 / 100,
1638405604-171,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=house,,,https://www.redfin.com/CA/Woodland-Hills/5043-Serrania-Ave-91364/home/4173622,"5043 Serrania Ave,","$949,000.00",3,2,"1,395",Time on Redfin9 days,1953,"5,500 Sq. Ft.","$955,890.00","$4,299.00","Convection Oven, Dishwasher, Gas Oven, Gas Stove, Refrigerator",Patio And Porch Features: Deck,High School District: Los Angeles Unified,,"1,589",37,6,67 / 100,42 / 100,53 / 100,
1638405576-167,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=house,,,https://www.redfin.com/CA/Sylmar/13501-Egbert-St-91342/home/5549671,"13501 Egbert St,","$1,100,000.00",6,4,"4,417",Time on Redfin9 days,1932,0.36 Acres,"$1,089,998.00","$4,984.00",4,Pool Features: None,High School District: Los Angeles Unified,,501,4,0,16 / 100,36 / 100,16 / 100,
1638405829-204,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=house,,,https://www.redfin.com/CA/Los-Angeles/1549-Silverwood-Dr-90041/home/7083208,"1549 Silverwood Dr,","$1,095,000.00",2,2,"1,137",Time on Redfin6 days,1950,Eagle Rock,"$1,352,268.00","$4,961.00",Laundry Inside,Above Ground Spa,Assessor Parcel Number: 5479-003-022,,"9,095",839,16,34 / 100,42 / 100,23 / 100,
1638406503-348,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=house,,,https://www.redfin.com/CA/Los-Angeles/1341-Comstock-Ave-90024/home/6807177,"1341 Comstock Ave,","$3,595,000.00",5,5,"3,234",Time on Redfin28 hours,1931,Westwood - Century City,"$3,589,606.00","$16,287.00",5,"Patio Features: Patio Open, Porch - Front",Directions: Wilshire Blvd to Comstock Ave.,Detached/No Common Walls,"1,468",73,2,64 / 100,63 / 100,44 / 100,
1638406342-287,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=house,,,https://www.redfin.com/CA/Northridge/8757-Jumilla-Ave-91324/home/5885743,"8757 Jumilla Ave,","$885,000.00",4,2.5,"2,279",Time on Redfin3 days,1958,NR - Northridge,2.25%,"$3,995.00","Driveway, Driveway - Concrete, Street","Foundation Details: Concrete Perimeter, Concrete Slab",High School District: Los Angeles Unified,Fencing: Wood,805,50,3,64 / 100,40 / 100,57 / 100,
1638405516-158,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=house,,,https://www.redfin.com/CA/Sherman-Oaks/14539-Weddington-St-91411/home/4737744,"14539 Weddington St,","$1,595,999.00",2,1,"1,305",Time on Redfin9 days,1928,Sherman Oaks,"$1,552,552.00","$7,231.00",No Laundry,"Roof: Composition, Shingle",Sewer: In Street,Foundation - None,388,7,1,70 / 100,51 / 100,60 / 100,
1638406361-293,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=house,,,https://www.redfin.com/CA/Los-Angeles/6809-Iris-Cir-90068/home/7127517,"6809 Iris Cir,","$1,995,000.00",3,3,"3,300",Time on Redfin3 days,1926,Hollywood Hills East,"$1,992,749.00","$9,038.00","Laundry Inside, Laundry Area, Laundry Room",Room For Pool,Directions: Cahuenga to Iris Circle,,"1,584",58,8,62 / 100,59 / 100,32 / 100,
1638406442-324,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=house,,,https://www.redfin.com/CA/North-Hollywood/4543-Farmdale-Ave-91602/home/5228115,"4543 Farmdale Ave,","$2,300,000.00",4,3.5,"3,000",Time on Redfin2 days,1938,Studio City,"$2,273,039.00","$10,420.00",Laundry Room,"Roof: Composition, Shingle","Directions: N. of Moorpark, W. of Tujunga, close to Tujunga Village!",Detached/No Common Walls,"1,106",29,3,75 / 100,39 / 100,61 / 100,
