web-scraper-order,web-scraper-start-url,pagination,link,link-href,address,price,beds,baths,sqft,DOM,year,lot_size,estimate,est_monthly_payment,parking,pool,school_dist,zoning,views,favorites,outs,walk_score,transit_score,bike_score,hoa_dues
1638457300-1606,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=townhouse,,,https://www.redfin.com/CA/Tujunga/10500-Sunland-Blvd-91040/unit-2/home/5498517,"10500 Sunland Blvd #2,","$579,000",3,2.5,"1,204",Time on Redfin2 days,1979,P1-7611,"$581,185","$3,023",Has Appliances,Has Patio,Common Interest: Condominium,,668,16,0,70 / 100,36 / 100,50 / 100,HOA Dues$412/month
1638457317-1609,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=townhouse,,,https://www.redfin.com/CA/Van-Nuys/15050-Sherman-Way-91405/unit-225/home/4460629,"15050 Sherman Way #225,","$579,000",3,2,"1,489",Time on Redfin20 hours,1981,SR21257175,"$579,952","$3,106","Garbage Disposal, Gas Range, Microwave, Refrigerator",Patio And Porch Features: Patio,Elementary School: Los Angeles Unified,Association Fee Frequency: Monthly,650,53,1,56 / 100,53 / 100,63 / 100,HOA Dues$495/month
1638457260-1599,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=townhouse,,,https://www.redfin.com/CA/North-Hills/9131-Burnet-Ave-91343/unit-10/home/5694368,"9131 Burnet Ave #10,","$429,000",2,2.5,"1,130",Time on Redfin3 days,1980,1.52 Acres,"$459,052","$2,325","Dishwasher, Gas Range, Water Heater Unit","Patio And Porch Features: Patio, Porch, Porch - Front, Wood",High School District: Los Angeles Unified,Association Fee Frequency: Monthly,645,46,2,71 / 100,48 / 100,59 / 100,HOA Dues$390/month
1638457023-1545,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=townhouse,,,https://www.redfin.com/CA/Los-Angeles/11525-Ohio-Ave-90025/unit-4/home/8111478,"11525 Ohio Ave #4,","$858,000",2,2.5,"1,229",Time on Redfin22 days,1981,"5,688 Sq. Ft.","$870,454","$4,270","Dishwasher, Freezer, Garbage Disposal, Gas Oven, Range/Stove Hood, Refrigerator",Awning,High School District: Los Angeles Unified,Association Fee Frequency: Monthly,"2,408",86,4,93 / 100,68 / 100,76 / 100,HOA Dues$400/month
1638457168-1583,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=townhouse,,,https://www.redfin.com/CA/North-Hills/9131-Burnet-Ave-91343/unit-6/home/5694348,"9131 Burnet Ave #6,","$455,000",2,3,"1,130",Time on Redfin8 days,1980,OC21254625,"$476,267","$2,412",3,Pool Features: Association,High School District: Los Angeles Unified,Association Fee Frequency: Monthly,723,27,4,71 / 100,48 / 100,59 / 100,HOA Dues$360/month
1638456993-1541,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=townhouse,,,https://www.redfin.com/CA/Los-Angeles/4721-1-2-St-Charles-Pl-90019/home/167449796,"4721-1/2 St Charles Pl,","$1,249,000",3,4,"2,287",Time on Redfin27 days,2017,"1,496 Sq. Ft.","$1,252,066","$5,813",$180,# of Parking Spaces (Total): 2,Patio Features: Roof Top Deck,,"1,831",107,8,88 / 100,64 / 100,52 / 100,HOA Dues$180/month
1638457095-1572,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=townhouse,,,https://www.redfin.com/CA/Canoga-Park/20921-Community-St-91304/unit-8/home/5869356,"20921 Community St #8,","$449,944",2,3,"1,356",Time on Redfin10 days,1982,BB21223754,"$522,211","$2,369",Attached Garage,Patio And Porch Features: Patio,High School District: Los Angeles Unified,Zoning: LARD3,"4,299",186,11,69 / 100,48 / 100,52 / 100,HOA Dues$340/month
1638457160-1582,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=townhouse,,,https://www.redfin.com/CA/Reseda/8020-Canby-Ave-91335/unit-5/home/3621454,"8020 Canby Ave #5,","$499,994",3,2.5,"1,573",Time on Redfin9 days,1965,5.57 Acres,"$516,465","$2,665","Dishwasher, Electric Stove, Electric Oven, Microwave, Range/Stove Hood, Water Heater Unit",Foundation Details: Concrete Slab,Common Interest: Condominium,Has Pool,"1,409",41,1,45 / 100,46 / 100,56 / 100,HOA Dues$410/month
1638456590-1488,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=townhouse,,,https://www.redfin.com/CA/Los-Angeles/7401-S-Sepulveda-Blvd-90045/unit-113/home/40153717,"7401 S Sepulveda Blvd #113,","$1,650,000",3,4,"2,730",Time on Redfin85 days,2009,1.16 Acres,"$1,625,054","$7,892",4,Patio Features: Enclosed,# of Units in Complex (Total): 24,Special Zoning: None,"2,611",20,7,59 / 100,44 / 100,61 / 100,HOA Dues$450/month
1638456623-1494,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=townhouse,,,https://www.redfin.com/CA/Los-Angeles/2700-E-Chaucer-St-90065/unit-24/home/169943020,"2700 E Chaucer St #24,","$885,000",3,3.5,"1,840",Time on Redfin82 days,2018,SR21201261,"$881,455","$4,365","Built In Range, Dishwasher, Garbage Disposal, Gas Range, Gas Water Heater, Microwave, Range/Stove Hood",Pool Features: None,High School District: Los Angeles Unified,Association Fee Frequency: Monthly,"2,726",128,5,66 / 100,49 / 100,72 / 100,HOA Dues$374/month
